	1371,546167
	469,010019
	873,235894
	349,664448
	343,399501
	321,399232
	402,737912
	342,498212
	327,22569400000003
	360,665342
	413,454589
	333,277858
	304,828736
	378,890988
	319,801078
	287,977062
	282,440897
	284,362026
	286,64336699999996
	286,278596
	280,33890299999996
	288,193644
	280,195274
	275,409931
	275,916051
	279,137437
	269,398804
	278,24678800000004
	276,499685
	284,234357
	284,725278
	295,03538699999996
	279,57744299999996
	284,853708
	285,520175
	279,022686
	295,538467
	272,674146
	279,885219
	299,940041
	282,16351899999995
	280,718873
	281,158878
	276,151632
	273,186346
	273,223583
	280,319145
	275,352935
	277,18819099999996
	275,02616
	276,282342
	271,231779
	272,845893
	271,610229
	272,818534
	271,14590599999997
	271,244698
	274,473684
	271,142106
	273,019159
	271,75613799999996
	273,487282
	274,361973
	282,559448
	276,03992100000005
	276,879655
	280,75383
	272,266818
	278,480849
	283,169681
	272,838293
	269,201979
	271,55855299999996
	269,79929200000004
	270,712741
	269,116866
	270,135946
	269,56599
	275,948729
	272,184745
	269,770414
	273,64914899999997
	274,893171
	269,205019
	270,813053
	268,87672499999996
	273,158228
	269,938362
	270,565312
	268,694339
	271,413405
	268,274852
	272,768378
	269,646545
	270,448281
	270,378367
	270,45436
	268,418481
	270,693741
	269,291653




539,090185
195,302354
189,18939400000002
122,434727
119,975561
118,033154
121,50076
127,400176
115,766251
116,10442499999999
117,779333
114,929557
115,713056
116,568748
114,939436
117,462438
125,57632
129,356263
130,224874
130,26591100000002
130,133681
128,35618100000002
133,442461
147,669301
137,156289
142,102739
142,379357
129,86694200000002
128,568964
130,931618
130,154199
129,321305
130,379902
130,662599
130,446016
129,8943
128,382019
131,975017
130,93617799999998
129,84338400000001
129,368421
129,743071
129,583485
129,356262
130,817627
131,315388
136,356831
129,8981
132,24175599999998
130,92325899999997
132,087487
129,06900499999998
129,58576499999998
131,081327
129,560686
129,887461
131,731075
129,724073
128,334143
131,10564499999998
130,570646
130,474894
130,62004299999998
130,29554800000003
131,400501
128,261948
129,024169
130,218794
130,233993
129,15791800000002
130,358623
129,031008
130,075165
128,12363900000003
129,376781
129,920898
132,065449
130,193717
132,67036099999999
131,03573
128,906378
130,07136599999998
130,431578
130,084285
129,850984
129,709634
130,164079
131,763752
130,324426
130,253752
130,902741
130,541009
129,07888400000002
129,184516
130,673998
129,20579400000003
129,374501
130,462735
130,068326
130,829026


Averageoptimized:134,46977831
Averageunoptimized:303,76155198

